provider_id,total_claims,avg_risk_score,fraud_rate,avg_amount,max_frequency,evidence_statement,audit_priority
P001,66,0.3408275164131876,0.015151515151515152,1207.8976148362049,15,Normal activity patterns observed.,Low
P002,72,0.3267299049572898,0.013888888888888888,1077.2172610552298,15,Normal activity patterns observed.,Low
P003,54,0.3638576642234564,0.018518518518518517,1168.4535703341887,15,Normal activity patterns observed.,Low
P004,77,0.33026491181930573,0.025974025974025976,1023.7821366815792,15,Normal activity patterns observed.,Low
P005,65,0.3424051031487152,0.0,949.2591958703684,15,Normal activity patterns observed.,Low
P006,53,0.3533849008288485,0.03773584905660377,1116.9083831409553,15,Normal activity patterns observed.,Low
P007,74,0.3456367304837684,0.02702702702702703,1094.2880756667676,15,Normal activity patterns observed.,Low
P008,71,0.6297561246005081,0.4507042253521127,891.386446017081,17,Normal activity patterns observed.,Medium
P009,70,0.32380409582143804,0.0,894.2370988955063,15,Normal activity patterns observed.,Low
P010,71,0.3450686140192884,0.028169014084507043,1071.8724956863475,15,Normal activity patterns observed.,Low
P011,59,0.36828352205117415,0.01694915254237288,1186.625808934724,15,Normal activity patterns observed.,Low
P012,58,0.37202009968632993,0.05172413793103448,875.6259864157535,15,Normal activity patterns observed.,Low
P013,70,0.3390290872605961,0.014285714285714285,853.4738869892143,15,Normal activity patterns observed.,Low
P014,65,0.35310957783252683,0.046153846153846156,1099.6099087319894,15,Normal activity patterns observed.,Low
P015,60,0.3412052157967584,0.016666666666666666,1052.7953509410888,15,Normal activity patterns observed.,Low
P016,55,0.3544717364744175,0.07272727272727272,1147.479989118265,15,Normal activity patterns observed.,Low
P017,56,0.3337507863654791,0.0,872.7644083633053,15,Normal activity patterns observed.,Low
P018,63,0.3392614340894452,0.0,945.3175027097577,15,Normal activity patterns observed.,Low
P019,77,0.34490616130517743,0.025974025974025976,919.4773141067443,15,Normal activity patterns observed.,Low
P020,60,0.34393997518634506,0.05,1003.103449192558,15,Normal activity patterns observed.,Low
P021,55,0.369482261338317,0.03636363636363636,990.3266266528377,15,Normal activity patterns observed.,Low
P022,53,0.334484178018116,0.0,948.4716979910914,15,Normal activity patterns observed.,Low
P023,54,0.3460108067723271,0.0,949.9631495356857,15,Normal activity patterns observed.,Low
P024,77,0.3309793958121218,0.012987012987012988,907.5063714527556,15,Normal activity patterns observed.,Low
P025,66,0.34025333373158967,0.015151515151515152,999.5949102853697,15,Normal activity patterns observed.,Low
P026,62,0.35083760710271733,0.03225806451612903,1038.5583295163947,15,Normal activity patterns observed.,Low
P027,71,0.6117113533632583,0.3380281690140845,803.3651280361322,17,Normal activity patterns observed.,Medium
P028,72,0.36498948782915075,0.05555555555555555,990.3365024271467,15,Normal activity patterns observed.,Low
P029,59,0.3710592233670816,0.03389830508474576,817.445171090005,15,Normal activity patterns observed.,Low
P030,61,0.33033786208868116,0.0,980.6633295022013,15,Normal activity patterns observed.,Low
P031,75,0.3441592904114917,0.013333333333333334,1040.0944809894352,15,Normal activity patterns observed.,Low
P032,53,0.352122836535841,0.018867924528301886,986.3415273964931,15,Normal activity patterns observed.,Low
P033,65,0.32525339798421704,0.03076923076923077,1031.7556130293974,15,Normal activity patterns observed.,Low
P034,59,0.3400166183993073,0.0,974.9362773197383,15,Normal activity patterns observed.,Low
P035,65,0.36154071981468305,0.015384615384615385,929.9493449772227,15,Normal activity patterns observed.,Low
P036,74,0.34818271849198074,0.013513513513513514,1030.3832672390788,15,Normal activity patterns observed.,Low
P037,68,0.3606064741752129,0.029411764705882353,1142.6631913023496,15,Normal activity patterns observed.,Low
P038,63,0.3442912770669894,0.047619047619047616,971.1408321035177,15,Normal activity patterns observed.,Low
P039,68,0.321218529973921,0.0,916.8443880634325,15,Normal activity patterns observed.,Low
P040,71,0.3448865071769211,0.028169014084507043,1038.1008025044855,15,Normal activity patterns observed.,Low
P041,71,0.3730253391913696,0.028169014084507043,1076.0133837195601,15,Normal activity patterns observed.,Low
P042,76,0.3380295201198963,0.013157894736842105,1051.9523588503143,15,Normal activity patterns observed.,Low
P043,83,0.3505321546543723,0.024096385542168676,969.1522179162266,15,Normal activity patterns observed.,Low
P044,57,0.3347722923412634,0.017543859649122806,1035.2867508991687,15,Normal activity patterns observed.,Low
P045,61,0.3553900476927788,0.03278688524590164,987.8732922508052,15,Normal activity patterns observed.,Low
P046,63,0.6459461713012524,0.47619047619047616,929.8564055179619,17,Normal activity patterns observed.,Medium
P047,74,0.3466351848859618,0.02702702702702703,1145.9483375032592,14,Normal activity patterns observed.,Low
P048,82,0.3608039825939949,0.04878048780487805,942.519658204282,15,Normal activity patterns observed.,Low
P049,73,0.35365712663517257,0.0,1067.3996037266984,15,Normal activity patterns observed.,Low
P050,50,0.3561679933704156,0.02,1031.0649639448343,15,Normal activity patterns observed.,Low
P051,67,0.3513322756246827,0.014925373134328358,888.2680044364904,15,Normal activity patterns observed.,Low
P052,75,0.3414560945923043,0.013333333333333334,969.7632366742615,15,Normal activity patterns observed.,Low
P053,62,0.3474181809644488,0.03225806451612903,1033.9336837905385,15,Normal activity patterns observed.,Low
P054,62,0.35215588697148376,0.0,1019.2588967072303,15,Normal activity patterns observed.,Low
P055,63,0.36949098336334324,0.031746031746031744,1075.5964112335919,15,Normal activity patterns observed.,Low
P056,65,0.36182636747615743,0.015384615384615385,942.2839074363399,15,Normal activity patterns observed.,Low
P057,67,0.3567307487494508,0.04477611940298507,1125.4052216468017,15,Normal activity patterns observed.,Low
P058,61,0.36003045368187986,0.03278688524590164,1096.0783219390898,15,Normal activity patterns observed.,Low
P059,65,0.3292989856476776,0.015384615384615385,826.8785961089753,15,Normal activity patterns observed.,Low
P060,62,0.31887204245058515,0.0,1034.1747287668863,15,Normal activity patterns observed.,Low
P061,61,0.3417191637068971,0.0,998.0318056851075,15,Normal activity patterns observed.,Low
P062,69,0.3670214363063773,0.028985507246376812,963.2776596886061,15,Normal activity patterns observed.,Low
P063,69,0.33167751538002255,0.0,1027.6732727398823,15,Normal activity patterns observed.,Low
P064,54,0.3784232291625005,0.07407407407407407,1054.282801070783,15,Normal activity patterns observed.,Low
P065,54,0.35806002246823376,0.037037037037037035,1065.4333434339233,15,Normal activity patterns observed.,Low
P066,65,0.34749576590171927,0.06153846153846154,1052.1607588720356,15,Normal activity patterns observed.,Low
P067,78,0.34770918875562823,0.05128205128205128,1002.1534781507842,15,Normal activity patterns observed.,Low
P068,77,0.351854874080277,0.0,1036.480596532759,15,Normal activity patterns observed.,Low
P069,84,0.35567988757071134,0.03571428571428571,1053.7952490498476,15,Normal activity patterns observed.,Low
P070,47,0.35219583299760154,0.02127659574468085,960.8515195072688,15,Normal activity patterns observed.,Low
P071,62,0.3573123747911365,0.04838709677419355,953.0944278916568,15,Normal activity patterns observed.,Low
P072,72,0.3331338215022489,0.0,961.0349155305698,15,Normal activity patterns observed.,Low
P073,71,0.33773909599024016,0.014084507042253521,1095.2894106283904,15,Normal activity patterns observed.,Low
P074,61,0.36397312512012187,0.01639344262295082,1057.7667350586685,15,Normal activity patterns observed.,Low
P075,70,0.36095270946838465,0.014285714285714285,972.4002424038656,15,Normal activity patterns observed.,Low
P076,75,0.3652221363475226,0.04,926.7181036225471,15,Normal activity patterns observed.,Low
P077,66,0.3412267530993541,0.015151515151515152,1080.570264241413,15,Normal activity patterns observed.,Low
P078,56,0.3315056365908758,0.03571428571428571,1187.0784770824673,15,Normal activity patterns observed.,Low
P079,66,0.3533353228515061,0.030303030303030304,982.1815151919378,15,Normal activity patterns observed.,Low
P080,64,0.32740241125936026,0.0,1201.4598223540772,15,Normal activity patterns observed.,Low
P081,78,0.3443061454696541,0.01282051282051282,904.9945107351982,15,Normal activity patterns observed.,Low
P082,75,0.3536845748248947,0.013333333333333334,1046.0173591630205,15,Normal activity patterns observed.,Low
P083,62,0.3518198786564296,0.04838709677419355,919.3260042704158,15,Normal activity patterns observed.,Low
P084,69,0.347591805895427,0.014492753623188406,965.2193088930771,15,Normal activity patterns observed.,Low
P085,74,0.37100863251526717,0.0,1009.3648341636101,15,Normal activity patterns observed.,Low
P086,71,0.3637476847342298,0.0,1091.9864504399698,15,Normal activity patterns observed.,Low
P087,72,0.347071287021882,0.027777777777777776,1218.3672049945535,15,Normal activity patterns observed.,Low
P088,70,0.3435811113163005,0.02857142857142857,1141.218302933272,15,Normal activity patterns observed.,Low
P089,52,0.33186032817463834,0.0,875.8522798903177,15,Normal activity patterns observed.,Low
P090,68,0.35785724320110435,0.04411764705882353,984.5099717020004,15,Normal activity patterns observed.,Low
P091,83,0.34648867031005787,0.012048192771084338,960.6015403750705,15,Normal activity patterns observed.,Low
P092,77,0.33521673910093286,0.012987012987012988,1059.818380191954,15,Normal activity patterns observed.,Low
P093,66,0.33666494879425374,0.015151515151515152,986.3064563952527,15,Normal activity patterns observed.,Low
P094,66,0.3530351375352145,0.06060606060606061,999.6194595258698,15,Normal activity patterns observed.,Low
P095,69,0.33738499205556816,0.014492753623188406,1053.3070480602062,15,Normal activity patterns observed.,Low
P096,63,0.3478764877948276,0.0,830.5799633385195,15,Normal activity patterns observed.,Low
P097,51,0.3619137939162698,0.058823529411764705,1159.8090956934877,15,Normal activity patterns observed.,Low
P098,66,0.336804430579845,0.0,1007.1432973647878,15,Normal activity patterns observed.,Low
P099,76,0.3481056238112192,0.02631578947368421,1092.9821987162104,15,Normal activity patterns observed.,Low
P100,43,0.3406322351422188,0.0,970.11793477959,15,Normal activity patterns observed.,Low
P101,66,0.3387617211911928,0.030303030303030304,994.4147136958843,15,Normal activity patterns observed.,Low
P102,57,0.3301560616094813,0.017543859649122806,1059.3593798223058,15,Normal activity patterns observed.,Low
P103,65,0.3571217310655491,0.03076923076923077,1047.3734234399312,15,Normal activity patterns observed.,Low
P104,67,0.34800752840091165,0.0,960.6500506753165,15,Normal activity patterns observed.,Low
P105,73,0.3529308168674038,0.0273972602739726,895.3289015607511,15,Normal activity patterns observed.,Low
P106,68,0.3568557120850717,0.0,888.5803582739545,15,Normal activity patterns observed.,Low
P107,68,0.3585629684997662,0.04411764705882353,1053.6018100392353,15,Normal activity patterns observed.,Low
P108,87,0.3475956886096354,0.011494252873563218,957.1695653007149,15,Normal activity patterns observed.,Low
P109,83,0.3322060711790724,0.012048192771084338,941.8148853905369,15,Normal activity patterns observed.,Low
P110,59,0.341024278179641,0.01694915254237288,1040.9376058466862,14,Normal activity patterns observed.,Low
P111,61,0.32979178206150955,0.01639344262295082,882.4628440890232,14,Normal activity patterns observed.,Low
P112,59,0.34616324987241553,0.01694915254237288,838.5722409003791,15,Normal activity patterns observed.,Low
P113,58,0.3776640257022969,0.06896551724137931,1168.966825937465,15,Normal activity patterns observed.,Low
P114,64,0.35060071348226907,0.03125,973.8406075688805,15,Normal activity patterns observed.,Low
P115,70,0.35754522808544753,0.05714285714285714,1086.557974756616,15,Normal activity patterns observed.,Low
P116,69,0.35981034082533536,0.08695652173913043,1087.509804832756,15,Normal activity patterns observed.,Low
P117,73,0.35378104272351224,0.0136986301369863,936.4573793520556,15,Normal activity patterns observed.,Low
P118,72,0.3558570741415244,0.013888888888888888,999.3623804517624,15,Normal activity patterns observed.,Low
P119,61,0.36133800681659944,0.04918032786885246,1062.2473919705108,15,Normal activity patterns observed.,Low
P120,65,0.3485951564499735,0.046153846153846156,969.9231439123688,15,Normal activity patterns observed.,Low
P121,73,0.3367950132653647,0.0136986301369863,972.0284020679683,15,Normal activity patterns observed.,Low
P122,49,0.3553886883426765,0.0,975.6292173058696,15,Normal activity patterns observed.,Low
P123,70,0.34137540944549916,0.014285714285714285,919.6596803979922,15,Normal activity patterns observed.,Low
P124,75,0.35471398916170954,0.02666666666666667,871.5828124939886,15,Normal activity patterns observed.,Low
P125,70,0.34839682578298203,0.014285714285714285,1002.4999988889299,15,Normal activity patterns observed.,Low
P126,60,0.3338895375323519,0.016666666666666666,1065.524289454449,15,Normal activity patterns observed.,Low
P127,60,0.3558309226516431,0.03333333333333333,962.9958412142963,15,Normal activity patterns observed.,Low
P128,76,0.33692755679514974,0.0,941.5620794264676,15,Normal activity patterns observed.,Low
P129,86,0.3731344981685741,0.046511627906976744,1134.5958296023286,15,Normal activity patterns observed.,Low
P130,52,0.3319833037678949,0.0,764.5946147313529,15,Normal activity patterns observed.,Low
P131,63,0.33971024629138147,0.031746031746031744,877.3722915423425,15,Normal activity patterns observed.,Low
P132,58,0.32463040714747743,0.017241379310344827,940.5370284757536,15,Normal activity patterns observed.,Low
P133,79,0.32704588347358415,0.0,996.5785854117738,15,Normal activity patterns observed.,Low
P134,79,0.6518162025315433,0.5063291139240507,999.5686204556613,17,High anomaly rate: 50.6% of claims flagged.,Medium
P135,65,0.3281020927277833,0.0,1095.9006867911178,15,Normal activity patterns observed.,Low
P136,56,0.369552862462967,0.03571428571428571,957.5494407665916,15,Normal activity patterns observed.,Low
P137,61,0.35675049993113456,0.04918032786885246,990.8415514722922,15,Normal activity patterns observed.,Low
P138,84,0.3479213336036907,0.023809523809523808,1070.1202265228158,15,Normal activity patterns observed.,Low
P139,70,0.34458835577011476,0.0,1023.3632000801086,15,Normal activity patterns observed.,Low
P140,69,0.32782019064687323,0.014492753623188406,982.3061879212703,15,Normal activity patterns observed.,Low
P141,71,0.3390852840295734,0.0,1032.2659546890575,15,Normal activity patterns observed.,Low
P142,48,0.3361432345773001,0.041666666666666664,980.8695192646709,15,Normal activity patterns observed.,Low
P143,63,0.6418048349153355,0.4126984126984127,972.0517264887226,17,Normal activity patterns observed.,Medium
P144,65,0.31597338839325,0.015384615384615385,1028.7781551725984,15,Normal activity patterns observed.,Low
P145,80,0.37449713437025633,0.05,1000.5004920334693,15,Normal activity patterns observed.,Low
P146,70,0.34897530553610095,0.014285714285714285,927.3056912947801,15,Normal activity patterns observed.,Low
P147,87,0.364668041621947,0.05747126436781609,1118.9691607984344,15,Normal activity patterns observed.,Low
P148,80,0.33339840759230227,0.0125,1038.6907021576835,15,Normal activity patterns observed.,Low
P149,72,0.35508003123126824,0.013888888888888888,1014.5685613449461,15,Normal activity patterns observed.,Low
P150,66,0.3279367381601907,0.0,916.2668034983926,15,Normal activity patterns observed.,Low
